OBJECTID *,Shape *,FID_POLYLINE_2_30ftbuffer,BUFF_DIST,ORIG_FID,FID_CRASH_PHILADELPHIA_2019_XYTableToPoint,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,CRN,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,SCH_BUS_IND,SCH_ZONE_IND,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,ROADWAY_CLEARED,WEATHER1,WEATHER2,WZ_WORKERS_INJ_KILLED,SECONDARY_CRASH,INTERSECTION_RELATED
40,Point,1,30,0,9640,2328,0,0,0,0,0,0,0,0,0,8,0,<Null>,67,12,2019,2019125578,6,39.9521,-75.2056,2328,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,23,3,1,1,2,39 57:07.498,4,0,75 12:20.102,2,0,0,0,67301,1,0,1,N,1,0,1,2,67504,0,<Null>,1,1,N,N,0,<Null>,0,1,1,3,2,Y,2328,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,9,3,<Null>,<Null>,<Null>,<Null>
41,Point,1,30,0,10260,820,1,0,0,1,0,0,1,0,0,5,1,<Null>,67,9,2019,2019133129,3,39.9513,-75.1991,755,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,7,1,3,1,0,39 57:04.866,<Null>,0,75 11:56.817,4,0,0,0,67301,1,0,0,N,0,0,0,5,37301,3,<Null>,4,1,N,N,0,<Null>,0,0,0,3,2,<Null>,755,3,3,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
42,Point,1,30,0,10371,1018,2,0,0,0,0,0,0,0,0,1,0,<Null>,67,12,2019,2019134742,1,39.9474,-75.1876,1013,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,2,3,1,1,0,39 56:50.776,<Null>,8,75 11:15.410,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,230,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>
1,Point,1,30,0,184,1250,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,1,2020,2020004052,7,40.0092,-75.1967,1245,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,12,1,0,1,0,40 00:33.046,<Null>,0,75 11:48.208,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,1243,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,<Null>,<Null>
4,Point,1,30,0,1305,1650,0,0,0,0,0,0,0,0,0,8,0,<Null>,67,2,2020,2020020021,7,39.9512,-75.1991,1645,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,1,3,1,1,0,39 57:04.496,<Null>,99,75 11:56.898,8,0,0,0,67301,1,0,0,N,1,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,155,1,2,0,0,0,1,1,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,<Null>,<Null>
9,Point,1,30,0,2919,1540,1,0,0,0,0,0,0,0,0,8,0,<Null>,67,5,2020,2020036121,7,39.9529,-75.2122,1534,6,0,0,0,0,0,0,0,1,<Null>,0,0,0,15,1,1,1,0,39 57:10.335,<Null>,0,75 12:43.862,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,1532,1,2,0,0,0,1,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,N,<Null>
10,Point,1,30,0,2938,1650,0,0,0,1,0,0,0,0,0,4,0,<Null>,67,5,2020,2020036245,1,39.9504,-75.1926,1649,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,16,1,1,1,0,39 57:01.584,<Null>,0,75 11:33.305,4,0,0,0,67301,1,0,0,Y,0,0,0,2,67504,1,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,1645,1,2,0,0,0,0,0,3,1,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,N,N
14,Point,1,30,0,4268,2041,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,6,2020,2020049836,5,39.9518,-75.2031,2039,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,20,4,2,1,0,39 57:06.317,<Null>,0,75 12:11.069,4,0,0,0,67301,0,0,0,N,0,0,0,6,67504,2,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,2039,2,2,0,0,1,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,N,N
15,Point,1,30,0,4346,1540,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,6,2020,2020050568,1,39.949,-75.1899,1520,6,0,0,0,0,0,1,0,1,<Null>,0,0,0,15,1,0,0,0,39 56:56.500,<Null>,0,75 11:23.500,0,0,0,0,67301,0,0,0,N,0,0,0,2,67504,0,<Null>,1,1,N,N,0,<Null>,0,0,1,0,0,<Null>,1500,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,99,98,<Null>,N,N
18,Point,1,30,0,5240,1447,1,0,0,1,0,0,0,0,0,4,0,<Null>,67,7,2020,2020060355,4,39.9503,-75.1917,1443,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,14,1,1,2,0,39 57:01.078,<Null>,0,75 11:30.262,4,0,0,0,67301,1,0,0,N,0,0,0,2,67504,1,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,1443,1,2,0,0,1,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,3,<Null>,<Null>,<Null>
